CountyFips,Value_sq
1001,157.6708919476943
1003,116.91393515496608
1003,116.91393515496608
1003,116.91393515496608
1003,116.91393515496608
1003,116.91393515496608
1003,116.91393515496608
1003,116.91393515496608
1009,192.40185546204546
1009,192.40185546204546
1015,188.30961596665915
1015,188.30961596665915
1015,188.30961596665915
1015,188.30961596665915
1015,188.30961596665915
1015,188.30961596665915
1015,188.30961596665915
1021,160.61312949637855
1033,152.2242273614986
1043,189.16916458026782
1043,189.16916458026782
1045,134.06841042985917
1051,163.13399853572471
1053,123.82509097894298
1053,123.82509097894298
1055,178.69681577190786
1055,178.69681577190786
1055,178.69681577190786
1055,178.69681577190786
1055,178.69681577190786
1055,178.69681577190786
1069,131.9724112605042
1069,131.9724112605042
1071,167.68881640204478
1071,167.68881640204478
1071,167.68881640204478
1071,167.68881640204478
1073,302.740430077382
1073,302.740430077382
1073,302.740430077382
1073,302.740430077382
1073,302.740430077382
1073,302.740430077382
1073,302.740430077382
1073,302.740430077382
1077,159.3188937609705
1077,159.3188937609705
1077,159.3188937609705
1081,171.63064623855004
1081,171.63064623855004
1081,171.63064623855004
1081,171.63064623855004
1083,172.6038596095439
1083,172.6038596095439
1089,169.6717550594831
1089,169.6717550594831
1089,169.6717550594831
1089,169.6717550594831
1089,169.6717550594831
1089,169.6717550594831
1095,182.61981493605148
1095,182.61981493605148
1095,182.61981493605148
1095,182.61981493605148
1095,182.61981493605148
1095,182.61981493605148
1095,182.61981493605148
1097,129.3158331677649
1097,129.3158331677649
1097,129.3158331677649
1097,129.3158331677649
1097,129.3158331677649
1097,129.3158331677649
1097,129.3158331677649
1097,129.3158331677649
1101,161.2647428918957
1101,161.2647428918957
1101,161.2647428918957
1101,161.2647428918957
1101,161.2647428918957
1103,172.8129421435858
1103,172.8129421435858
1103,172.8129421435858
1103,172.8129421435858
1103,172.8129421435858
1103,172.8129421435858
1117,197.13697875626968
1117,197.13697875626968
1117,197.13697875626968
1117,197.13697875626968
1125,161.84253032183756
1125,161.84253032183756
1125,161.84253032183756
1125,161.84253032183756
1125,161.84253032183756
1125,161.84253032183756
1125,161.84253032183756
1127,182.68134429152136
1127,182.68134429152136
5005,113.7263786781736
5005,113.7263786781736
5007,130.56791155738387
5007,130.56791155738387
5007,130.56791155738387
5007,130.56791155738387
5007,130.56791155738387
5007,130.56791155738387
5009,111.29165654084014
5009,111.29165654084014
5009,111.29165654084014
5031,153.22656575300138
5031,153.22656575300138
5031,153.22656575300138
5031,153.22656575300138
5031,153.22656575300138
5033,131.40447280544691
5033,131.40447280544691
5033,131.40447280544691
5033,131.40447280544691
5033,131.40447280544691
5033,131.40447280544691
5035,155.6979256599907
